index,Unnamed: 0,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
0,0,Live At Wembley Arena,1,1mKnzPuoEhyGP1dgMvOzfT,Gammal fäbodpsalm - Live,spotify:track:1mKnzPuoEhyGP1dgMvOzfT,0.862,0.205,0.176,0.908,0.407,-24.421,0.0457,96.066,0.128,50,Abba
1,1,Live At Wembley Arena,2,6YPvn6me5k5OiXVPtgmeak,Voulez-Vous - Live,spotify:track:6YPvn6me5k5OiXVPtgmeak,0.00459,0.5,0.707,0.00283,0.501,-11.825,0.0413,137.314,0.53,41,Abba
2,2,Live At Wembley Arena,3,3GcRxtoMaxXe4zjvRLzZlr,If It Wasn't For The Nights - Live,spotify:track:3GcRxtoMaxXe4zjvRLzZlr,0.00194,0.496,0.778,4.99e-05,0.978,-13.305,0.106,104.645,0.372,39,Abba
3,3,Live At Wembley Arena,4,4juV8pzyyD53BeWJzCanQb,As Good As New - Live,spotify:track:4juV8pzyyD53BeWJzCanQb,0.0305,0.408,0.727,0.0,0.777,-11.898,0.0556,148.697,0.662,37,Abba
4,4,Live At Wembley Arena,5,5wTlYf7V2ser4UslPKxIKU,"Knowing Me, Knowing You - Live",spotify:track:5wTlYf7V2ser4UslPKxIKU,0.0103,0.389,0.775,3.26e-05,0.743,-10.317,0.0364,99.042,0.49,39,Abba
5,5,Live At Wembley Arena,6,43iNYzBbyAQF29CjsalAik,Rock Me - Live,spotify:track:43iNYzBbyAQF29CjsalAik,0.0568,0.462,0.721,0.0,0.712,-9.928,0.0577,132.91,0.548,36,Abba
6,6,Live At Wembley Arena,7,5VFWFYzo4stfWnux8rWdPO,Chiquitita - Live,spotify:track:5VFWFYzo4stfWnux8rWdPO,0.0677,0.367,0.469,3.22e-05,0.837,-14.058,0.0348,87.911,0.262,40,Abba
7,7,Live At Wembley Arena,8,0M4KWb0efz5XjIfmPix6sQ,"Money, Money, Money - Live",spotify:track:0M4KWb0efz5XjIfmPix6sQ,0.275,0.457,0.689,4.3e-05,0.87,-13.462,0.148,125.763,0.288,38,Abba
8,8,Live At Wembley Arena,9,7K5sFSOkP1Yz7xJipXDaBV,I Have A Dream - Live,spotify:track:7K5sFSOkP1Yz7xJipXDaBV,0.111,0.429,0.536,2.54e-06,0.863,-16.226,0.0695,108.831,0.365,40,Abba
9,9,Live At Wembley Arena,10,3hEy5GbQv7yC1X6yhoPz2y,Gimme! Gimme! Gimme! (A Man After Midnight) - Live,spotify:track:3hEy5GbQv7yC1X6yhoPz2y,0.00979,0.364,0.776,0.00127,0.837,-9.849,0.0557,127.926,0.459,37,Abba
10,10,Live At Wembley Arena,11,3t07NlsvTzarYlPyogvZ8O,SOS - Live,spotify:track:3t07NlsvTzarYlPyogvZ8O,0.0398,0.474,0.65,5.61e-06,0.923,-10.297,0.0447,121.875,0.15,38,Abba
11,11,Live At Wembley Arena,12,1N2NXpj3uukS8QsHURfnQv,Fernando - Live,spotify:track:1N2NXpj3uukS8QsHURfnQv,0.194,0.441,0.474,0.0,0.949,-12.095,0.0367,111.309,0.228,38,Abba
12,12,Live At Wembley Arena,1,6o2yOoSIpSJT919HlUETqW,The Name Of The Game - Live,spotify:track:6o2yOoSIpSJT919HlUETqW,0.0138,0.447,0.566,0.0,0.93,-11.144,0.0252,80.637,0.657,34,Abba
13,13,Live At Wembley Arena,2,6T1kgceAMBVmjyKzDXNlh2,Eagle - Live,spotify:track:6T1kgceAMBVmjyKzDXNlh2,0.000454,0.38,0.702,0.000115,0.809,-10.578,0.0339,78.89,0.357,33,Abba
14,14,Live At Wembley Arena,3,1PnrWsfhSFLcNhaKD7bANM,Thank You For The Music - Live,spotify:track:1PnrWsfhSFLcNhaKD7bANM,0.0893999999999999,0.487,0.518,0.0,0.969,-13.165,0.0651,104.41,0.398,36,Abba
15,15,Live At Wembley Arena,4,1FwzC6Wsw5a6YJQsSxGL8n,Why Did It Have To Be Me? - Live,spotify:track:1FwzC6Wsw5a6YJQsSxGL8n,0.00373,0.477,0.819,0.000928,0.734,-10.525,0.0593,124.761,0.567,33,Abba
16,16,Live At Wembley Arena,5,2orRq69FVVrlVedoi4882F,Intermezzo No.1 - Live,spotify:track:2orRq69FVVrlVedoi4882F,0.00847,0.357,0.856,0.716,0.675,-10.381,0.124,89.527,0.346,31,Abba
17,17,Live At Wembley Arena,6,4kZlykyOQ1w31YA3RirCvQ,I'm Still Alive - Live,spotify:track:4kZlykyOQ1w31YA3RirCvQ,0.518,0.381,0.514,1.84e-06,0.755,-12.066,0.0839,124.356,0.172,31,Abba
18,18,Live At Wembley Arena,7,07bNRNkdQeUGMidjbZyCyB,Summer Night City - Live,spotify:track:07bNRNkdQeUGMidjbZyCyB,0.00755,0.233,0.742,0.0,0.691,-10.61,0.16,148.721,0.107,33,Abba
19,19,Live At Wembley Arena,8,7mHjo6TCCMmYk5zQ9jlMBX,Take A Chance On Me - Live,spotify:track:7mHjo6TCCMmYk5zQ9jlMBX,0.0123,0.459,0.848,0.0,0.987,-9.389,0.0599,111.374,0.388,36,Abba
20,20,Live At Wembley Arena,9,2k2rZwlotD4XzDtgjEF9IN,Does Your Mother Know - Live,spotify:track:2k2rZwlotD4XzDtgjEF9IN,0.00015,0.409,0.877,0.00248,0.278,-8.432,0.0423,147.594,0.734,35,Abba
21,21,Live At Wembley Arena,10,7tQArNO9133ADo6e6Barkx,Hole In Your Soul - Live,spotify:track:7tQArNO9133ADo6e6Barkx,0.0012,0.212,0.912,0.00145,0.75,-9.466,0.38,170.005,0.145,31,Abba
22,22,Live At Wembley Arena,11,0snim2CMV62M4JocWIpjGH,The Way Old Friends Do - Live,spotify:track:0snim2CMV62M4JocWIpjGH,0.591,0.142,0.225,0.0,0.287,-14.375,0.0383,176.614,0.256,49,Abba
23,23,Live At Wembley Arena,12,7uCt8IA0PnfsEoTMk7By1Q,Dancing Queen - Live,spotify:track:7uCt8IA0PnfsEoTMk7By1Q,0.0546,0.419,0.939,0.000643,0.449,-9.529,0.339,107.586,0.265,37,Abba
24,24,Live At Wembley Arena,13,3eNYZ1f1sLkylk0kc60Vir,Waterloo - Live,spotify:track:3eNYZ1f1sLkylk0kc60Vir,0.000601,0.396,0.811,0.000599,0.677,-10.441,0.0419,159.426,0.343,37,Abba
25,25,The Visitors,1,5v35PWmB4SwHhH0JJFXrmR,The Visitors,spotify:track:5v35PWmB4SwHhH0JJFXrmR,0.075,0.61,0.619,0.000427,0.093,-9.838,0.0302,131.194,0.719,2,Abba
26,26,The Visitors,2,5ELL2yV4fueS8162HxqMDm,Head Over Heels,spotify:track:5ELL2yV4fueS8162HxqMDm,0.565,0.827,0.751,1.03e-05,0.141,-6.874,0.0348,121.429,0.762,2,Abba
